Daily Mix 1,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Daily Mix 2,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Daily Mix 3,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Daily Mix 4,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Daily Mix 5,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Daily Mix 6,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
On Repeat,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Time Capsule,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Daily Drive,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Repeat Rewind,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Party Time,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
With Friends,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Cafe y canciones acusticas,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Viaje en el tiempo: Exitos de los 80,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Ritmo latino,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Musica relajante para dormir,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Exitos del verano,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Rock clasico para siempre,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Mejores baladas de todos los tiempos,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Energia positiva: Â¡A bailar!,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Musica indie y alternativa,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Las mejores canciones de amor,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Hip Hop para el gimnasio,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Electronica para la fiesta,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Reggae vibes,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Musica para estudiar y concentrarse,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Descubriendo artistas emergentes,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Pop en espanol,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Country road trip,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaTheKillers.png
Musica para relajarse en la playa,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png
Clasicos del soul y R&B,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaGorillaz.png
Hits del momento: Top 40 actual,Mix de canciones para vos,..\\..\\..\\..\\Imagenes\\imgPortadaSumo.png